"data","loja","tipoCliente","qtde","totalVendido","lucro","margemPercentualMedia"
"22/11/2016","Balibeach - SP","0","10","125,00","56,08","44,86"
"22/11/2016","Balibeach - SP","1","53","1183,50","311,35","26,31"
"23/11/2016","Balibeach - SP","0","16","356,00","143,80","40,39"
"23/11/2016","Balibeach - SP","1","217","4852,30","1424,23","29,35"
"24/11/2016","Balibeach - SP","0","26","714,00","260,78","36,52"
"24/11/2016","Balibeach - SP","1","539","7672,00","2869,05","37,40"
"25/11/2016","Balibeach - SP","0","13","508,00","145,48","28,64"
"25/11/2016","Balibeach - SP","1","15","419,18","132,42","31,59"
"26/11/2016","Balibeach - SP","0","11","333,50","126,44","37,91"
"26/11/2016","Balibeach - SP","1","37","842,00","304,26","36,14"
"28/11/2016","Balibeach - SP","0","10","315,00","116,15","36,87"
"28/11/2016","Balibeach - SP","1","35","884,80","257,53","29,11"
"28/11/2016","BALIBEACH RIO","0","5","187,00","62,35","33,34"
"28/11/2016","BALIBEACH RIO","1","3","54,00","20,25","37,50"
"29/11/2016","Balibeach - SP","0","4","75,00","27,45","36,61"
"29/11/2016","Balibeach - SP","1","450","8808,80","3470,06","39,39"
"29/11/2016","BALIBEACH RIO","1","38","779,00","289,54","37,17"
"30/11/2016","Balibeach - SP","0","21","302,00","135,26","44,79"
"30/11/2016","Balibeach - SP","1","1175","20869,50","8391,36","40,21"
"30/11/2016","BALIBEACH RIO","0","1","65,00","25,19","38,75"
"30/11/2016","BALIBEACH RIO","1","55","1176,00","415,42","35,32"
"1/12/2016","Balibeach - SP","0","13","405,00","119,92","29,61"
"1/12/2016","Balibeach - SP","1","125","2163,00","950,82","43,96"
"1/12/2016","BALIBEACH RIO","1","61","1384,05","482,35","34,85"
"2/12/2016","Balibeach - SP","0","18","537,00","191,31","35,63"
"2/12/2016","Balibeach - SP","1","630","10199,90","4685,42","45,94"
"2/12/2016","BALIBEACH RIO","0","3","135,00","15,75","11,66"
"2/12/2016","BALIBEACH RIO","1","44","1026,00","298,10","29,05"
"3/12/2016","Balibeach - SP","0","40","1180,00","388,21","32,90"
"3/12/2016","Balibeach - SP","1","35","666,50","255,98","38,41"
"4/12/2016","Balibeach - SP","0","2","50,00","14,69","29,38"
"5/12/2016","Balibeach - SP","0","11","280,00","126,63","45,23"
"5/12/2016","Balibeach - SP","1","110","2259,00","882,86","39,08"
"5/12/2016","BALIBEACH RIO","0","1","15,00","4,67","31,11"
"5/12/2016","BALIBEACH RIO","1","41","908,00","303,46","33,42"
"6/12/2016","Balibeach - SP","0","3","80,00","22,39","27,99"
"6/12/2016","Balibeach - SP","1","1835","31931,00","13579,41","42,53"
"6/12/2016","BALIBEACH RIO","0","7","234,00","95,16","40,67"
"6/12/2016","BALIBEACH RIO","1","171","3022,00","1135,70","37,58"
"7/12/2016","Balibeach - SP","0","20","670,00","273,75","40,86"
"7/12/2016","Balibeach - SP","1","92","1833,50","688,91","37,57"
"7/12/2016","BALIBEACH RIO","0","2","86,00","10,92","12,70"
"7/12/2016","BALIBEACH RIO","1","824","12381,00","4812,67","38,87"
"8/12/2016","Balibeach - SP","0","15","380,00","140,34","36,93"
"8/12/2016","Balibeach - SP","1","1265","25015,58","8800,08","35,18"
"8/12/2016","BALIBEACH RIO","1","179","3110,00","1390,96","44,73"
"9/12/2016","Balibeach - SP","0","18","605,00","234,82","38,81"
"9/12/2016","Balibeach - SP","1","2034","32153,00","13065,11","40,63"
"9/12/2016","BALIBEACH RIO","1","300","4854,00","1819,46","37,48"
"10/12/2016","Balibeach - SP","0","51","1654,00","502,47","30,38"
"10/12/2016","Balibeach - SP","1","13","341,00","113,99","33,43"
"11/12/2016","Balibeach - SP","0","3","120,00","30,25","25,21"
"11/12/2016","Balibeach - SP","1","198","3782,00","1346,30","35,60"
"12/12/2016","Balibeach - SP","0","10","292,00","104,10","35,65"
"12/12/2016","Balibeach - SP","1","945","15166,00","4537,38","29,92"
"12/12/2016","BALIBEACH RIO","0","3","94,00","40,85","43,46"
"12/12/2016","BALIBEACH RIO","1","645","9546,00","4747,73","49,74"
"13/12/2016","Balibeach - SP","0","14","441,00","170,47","38,66"
"13/12/2016","Balibeach - SP","1","684","10631,85","4610,63","43,37"
"13/12/2016","BALIBEACH RIO","0","4","134,00","49,91","37,24"
"13/12/2016","BALIBEACH RIO","1","46","779,00","317,42","40,75"
"14/12/2016","Balibeach - SP","0","11","361,00","97,08","26,89"
"14/12/2016","Balibeach - SP","1","576","10301,96","4135,87","40,15"
"14/12/2016","BALIBEACH RIO","0","5","191,00","76,23","39,91"
"14/12/2016","BALIBEACH RIO","1","122","1917,00","749,53","39,10"
"15/12/2016","Balibeach - SP","0","28","700,00","248,47","35,50"
"15/12/2016","Balibeach - SP","1","586","9146,50","3538,65","38,69"
"16/12/2016","Balibeach - SP","0","12","410,00","134,83","32,89"
"16/12/2016","Balibeach - SP","1","268","8014,70","2852,98","35,60"
"16/12/2016","BALIBEACH RIO","0","9","293,00","95,87","32,72"
"16/12/2016","BALIBEACH RIO","1","231","4062,50","1628,09","40,08"
"17/12/2016","Balibeach - SP","0","43","1480,00","527,71","35,66"
"17/12/2016","Balibeach - SP","1","194","7006,20","2271,68","32,42"
"17/12/2016","BALIBEACH RIO","1","100","1500,00","13,38","0,89"
"18/12/2016","Balibeach - SP","0","3","125,00","48,78","39,03"
"18/12/2016","Balibeach - SP","1","280","4643,00","1606,29","34,60"
"19/12/2016","Balibeach - SP","0","28","1045,00","370,64","35,47"
"19/12/2016","Balibeach - SP","1","276","6875,00","2459,17","35,77"
"19/12/2016","BALIBEACH RIO","0","1","28,00","0,25","0,89"
"19/12/2016","BALIBEACH RIO","1","14","225,00","103,28","45,90"
"20/12/2016","Balibeach - SP","0","38","1378,00","500,50","36,32"
"20/12/2016","Balibeach - SP","1","654","12537,50","3786,05","30,20"
"20/12/2016","BALIBEACH RIO","0","10","310,00","125,93","40,62"
"20/12/2016","BALIBEACH RIO","1","348","5861,00","2406,56","41,06"
"21/12/2016","Balibeach - SP","0","46","1479,00","548,49","37,08"
"21/12/2016","Balibeach - SP","1","102","2855,50","1067,34","37,38"
"21/12/2016","BALIBEACH RIO","0","1","28,00","12,94","46,22"
"21/12/2016","BALIBEACH RIO","1","20","360,00","135,00","37,50"
"22/12/2016","Balibeach - SP","0","31","1140,00","392,91","34,47"
"22/12/2016","Balibeach - SP","1","288","4553,00","2068,49","45,43"
"22/12/2016","BALIBEACH RIO","0","2","84,00","20,36","24,24"
"22/12/2016","BALIBEACH RIO","1","32","490,00","65,41","13,35"
"23/12/2016","Balibeach - SP","0","42","1240,20","399,41","32,21"
"23/12/2016","Balibeach - SP","1","62","1531,10","542,05","35,40"
"23/12/2016","BALIBEACH RIO","0","3","94,00","41,98","44,66"
"23/12/2016","BALIBEACH RIO","1","26","312,00","84,86","27,20"
"24/12/2016","Balibeach - SP","0","18","699,00","247,21","35,37"
"24/12/2016","Balibeach - SP","1","145","6337,00","1937,34","30,57"
"24/12/2016","BALIBEACH RIO","0","1","39,00","11,70","30,00"
"24/12/2016","BALIBEACH RIO","1","5","75,00","21,28","28,37"
"26/12/2016","Balibeach - SP","0","55","1916,00","650,48","33,95"
"26/12/2016","Balibeach - SP","1","96","1640,50","693,72","42,29"
"26/12/2016","BALIBEACH RIO","0","1","48,00","17,06","35,54"
"27/12/2016","Balibeach - SP","0","36","1178,50","400,57","33,99"
"27/12/2016","Balibeach - SP","1","1638","28015,50","13252,87","47,31"
"27/12/2016","BALIBEACH RIO","0","5","343,00","99,74","29,08"
"27/12/2016","BALIBEACH RIO","1","123","3013,75","1040,40","34,52"
"28/12/2016","Balibeach - SP","0","35","1116,00","376,80","33,76"
"28/12/2016","Balibeach - SP","1","3374","51159,50","23994,15","46,90"
"28/12/2016","BALIBEACH RIO","0","2","66,00","24,18","36,64"
"28/12/2016","BALIBEACH RIO","1","147","3503,00","1307,47","37,32"
"29/12/2016","Balibeach - SP","0","34","1125,00","373,70","33,22"
"29/12/2016","Balibeach - SP","1","62","1354,00","414,03","30,58"
"30/12/2016","Balibeach - SP","0","18","730,00","246,23","33,73"
"30/12/2016","Balibeach - SP","1","111","3010,00","1072,86","35,64"
"31/12/2016","BALIBEACH RIO","0","5","203,00","71,87","35,40"
"31/12/2016","BALIBEACH RIO","1","327","6575,00","2014,92","30,65"
"2/1/2017","Balibeach - SP","0","29","851,00","270,08","31,74"
"2/1/2017","Balibeach - SP","1","814","12439,50","5466,95","43,95"
"2/1/2017","BALIBEACH RIO","0","3","135,00","40,01","29,64"
"2/1/2017","BALIBEACH RIO","1","1199","17485,00","8319,28","47,58"
"3/1/2017","Balibeach - SP","0","26","1095,00","322,37","29,44"
"3/1/2017","Balibeach - SP","1","255","4777,00","1533,99","32,11"
"3/1/2017","BALIBEACH RIO","0","3","158,00","47,76","30,23"
"3/1/2017","BALIBEACH RIO","1","453","7291,50","2985,01","40,94"
"4/1/2017","Balibeach - SP","0","8","310,00","100,16","32,31"
"4/1/2017","Balibeach - SP","1","1431","20687,50","10277,25","49,68"
"4/1/2017","BALIBEACH RIO","0","11","356,00","104,19","29,27"
